哦	o2，真不走运。	Oh, that's tough luck.
矿工	这位即将退休的kuang4gong1把风钻移交给他的接班人。	The retiring miner delivered his pneumatic drill over to his successor.
北极熊	bei3ji2xiong2虽然会游泳，但也是陆栖动物。	Although they can swim, the polar bears are terrestrial animals.
顺路	我可以shun4lu4搭乘你的车吗?	Can I hitch a ride with you?
红旗	是把这面hong2qi2打开的时候了。	It's time to shake out the red flag.
大局	因为选举结果多已公布, 可谓da4ju2已定.	Now that most of the election results have been declared, it's all over bar the shouting.
难民	有许多来自那个国家的nan4min2。	There are many refugees from that country.
会谈	两国总理的hui4tan2将于下月举行。	The talks between the two premiers will be held next month.
何等	他们是he2deng3竭尽全力来完成这一任务啊！	How they laid about them to fulfill the task!
成家	吉姆的子女都cheng2jia1了，他成天都呆在家里不出门。	Jim's children are married and he stays at home all the time.
遭罪	一想到叫孩子zao1zui4我心里就难受。	It turns me up to think of children being made to suffer.
车轮	che1lun2在泥路上留下凹痕。	Wheels leave grooves in dirt roads.
法定	法院将fa3ding4损害赔偿金判给了她.	The court adjudged legal damages to her.
上吊	她的耳朵shang4diao4着巨大的耳环。	Huge earrings dangled from her ears.
岔口	走到cha4kou3处向左拐.	Go up to the fork and turn left.
上将	新公路shang4jiang4没有十字路口，而代之以过街桥和立交桥。	Cross-roads will not exist on these new highways, but will be replaced by bridges and flyovers.
病症	精神变态者一个有反社会人格bing4zheng4的人尤指有侵犯性、变态、犯罪或不道德行为的人	A person with an antisocial personality disorder, especially one manifested in aggressive, perverted, criminal, or amoral behavior.
千辛万苦	经过qian1xin1-wan4ku3这部词典才终於得以问世。	It's been a long haul but at last this dictionary is published.
突袭	将军推测说敌人将于今天晚上tu1xi2我们。	The general conjectures that the enemy will launch an attack against us this night.
不大	他们bu4da4愿意帮忙。	They were very reluctant to help.
擦伤	他割破和ca1shang1了几个地方。	He suffered a few cuts and scrapes.
清香	我可以闻到雨后鲜花的qing1xiang1。	I can smell the fragrance of flowers after showers.
高处	他失足自十英尺gao1chu4跌了下来.	He slipped and fell ten feet.
扭伤	他跳远时niu3shang1了左踝。	He hurt his left ankle in the broad jump.
总的来说	zong3de5lai2shuo1，我很喜欢这本书。	On the whole, I like the book very much.
燃起	他们ran2qi3篝火防止野兽接近.	They lit a fire to keep wild animals off.
调理	垫版印刷过程中的一个准备步骤，即通过tiao2li3和平整版面以确保印刷清晰	The operation of preparing a form for printing by adjusting and leveling the plates to ensure a clear impression.
功力	你估计这马达gong1li4有多大？""""约为十二马力。""	What would you rate the engine at? "" ""About12 horse power.""
实况	我正想把shi2kuang4告诉他；但他打断了我的话。	I was trying to tell him what really happened, but he cut me short.
闲置	好客的主人很快为尊贵的客人腾空了xian2zhi4着的房间。	The hospitable host had his spare room emptied very quickly for the honoured guest.
百分	天才的bai3fen1之一是灵感，bai3fen1之九十九是血汗。	Genius is one per cent inspiration and ninety- nine per cent perspiration.
麦迪逊	Mai4di2xun4美国威斯康星州首府，位于该州的中南部，密尔沃基的西边。它于1836年被选定作为该州的首府并在同年移民于此。威斯康星大学（建于1848年）的主要部分就在这里。人口191，262	The capital of Wisconsin, in the south-central part of the state west of Milwaukee. It was chosen as territorial capital in1836 and settled the same year. The main branch of the University of Wisconsin(founded1848) is here. Population, 191,262.
假冒	他企图将这种酒jia3mao4成法国酒，而事实上此酒来自共同市场以外的地方。	He tried to pass off the wine as french, when in fact it come from outside the common market.
出版社	chu1ban3she4侵犯了他的版权。	The publishing house infringed his copyright.
木板	这艘帆船的甲板是用厚mu4ban3制作的。	The deck of the sailing ship was made of thick planks.
避难所	他们把自己的家变成了无家可归的孤儿们的bi4nan4suo3。	They have made their home a haven for the homeless orphans.
黑手党	他意识到hei1shou3dang3要来报复他。	He thinks the Mafia are out to get him.
丢下	差劲……我刚刚开始认为他有潜力，他却diu1xia4一切转到别处工作了。	Darn...just when I start think he have potential, he just drop everything and took another job elsewhere.
差事	我是专程来办一件chai1shi5的.	I've come on a special errand.
少见	这样的天才现在很shao3jian4。	It is rare to find such a genius nowadays.
手榴弹	＂一枚shou3liu2dan4意外地发生了爆炸，接着是一片混乱，使我不知所措。＂	A hand grenade exploded by accident and I got lost in the ensuing confusion.
炒菜	我喜欢用马铃薯chao3cai4。	I like to cook dishes with potatoes.
落叶	luo4ye4盘旋著飘到了地上.	The falling leaf spiralled to the ground.
口语	kou3yu3体kou3yu3化或kou3yu3用法	Colloquial style or quality.
床垫	木屑chuang2dian4填满草杆或木屑的一床薄垫子	A thin mattress filled with straw or sawdust.
自立	她有非凡的zi4li4的精神和坚韧不拔的精神。	She have an unusual degree of self-reliance and mental toughness.
农药	nong2yao4，农用化学品用来增加作物产量的化学品，如激素、杀菌剂、杀虫剂	A chemical, such as a hormone, a fungicide, or an insecticide, that improves the production of crops.
此处	在结构分析中，研究形状和格式的科学。ci3chu4指对模块层次和组织的结构的研究。	In structured analysis, the study of shapes and forms, herein with respect to the structure of modular hierarchies and organizations.
水池	水（从贮shui3chi2）缓缓流出.	The water slowly emptied (from the cistern).
招手	她zhao1shou3要我跟著她.	She beckoned (to) me (to follow).
数百	这个种植园里有shu4bai3名奴隶。	There were hundreds of slaves in the plantation.
做菜	整套房间都弥漫著zuo4cai4的气味.	The smell of cooking permeates (through) the flat.
孤注一掷	公司绝不愿将自己的信誉gu1zhu4 yi1 zhi4。	The company would do anything but risk their prestige at stake.
迪斯科	可是我在一家di2si5ke1舞会上亲眼看到他，千真万确，他在和一个年龄只他一半大的姑娘跳舞。	But I saw him myself in a disco as large as life, dancing with a girl half his age.
交错	她使她的手指和我的手指jiao1cuo4。	She interlaced her fingers with mine.
出台	一个新规则很快就要chu1tai2了。	A new rule will soon come into being.
眼力	你的yan3li4不错。	You've made a good choice.
指派	哨站，岗位如卫兵或哨兵的zhi3pai4的站岗位置	An assigned position or station, as of a guard or sentry.
字体	印刷zi4ti3太小，我不带眼镜就看不清。	The print is too small for me to read without glasses.
鞭	这个奴隶被bian1打死。	The slave was strapped to death.
链子	链，带系在表或手镯上以防其丢失的小lian4zi5或带子	A small chain or band attached to a watch or bracelet to prevent loss.
紧握	他jin3wo4她的手。	He held her hand in a firm clasp.
淋浴	我洗过lin2yu4后觉得爽快了一些。	I took a shower and it braced me up a bit.
黄豆	请把huang2dou4捣成粉。	Please pound up the soybeans.
史前	shi3qian2生物化学对生物化学以及生物化学过程的发展和演变的研究	The study of the development and evolution of biochemicals and biochemical processes.
看错	是我kan4cuo4了，还是这些确实是你们在那个花盆里栽的兰花？	Do my eyes deceive me, or are those real orchids you have growing in that pot?
盎司	一ang4si1糖可以供给多少卡热量？	How many calories can an ounce of sugar supply?
放荡	他的fang4dang4的行为使他的母亲极为苦恼。	His wild behavior was a great distress to his mother.
绷带	护士给我受伤的胳臂裹上beng1dai4。	The nurse wound a bandage round my wounded arm.
南边	印度在中国的nan2bian5。	India is to the south of China.
日元	在今日的交易中, ri4yuan2已升值到历史的最高水平.	The yen hit a record high in trading today.
权益	人们的quan2yi4是受法律保护的。	The rights of the people are protected by law.
水里	把那棵植物（在shui3li5）浸泡几分钟.	Immerse the plant (in water) for a few minutes.
工夫	你下了这麽大gong1fu5, 一定能考及格.	You've done so much work that you're bound to pass the exam.
平方米	厨房的面积是12ping2fang1mi3.	The kitchen is 12 square metres in area/has an area of 12 square metres.
临终	这个被俘的将军，挺着身子走向刑场，直到lin2zhong1还保持着自己的尊严。	The captured general maintained his dignity to the end, walking ramrod-straight to his execution.
收复	我军shou1fu4了该市，但为此付出了沉重代价。	Our troops recapture the city, but they pay a heavy price for it.
醒目	海报上的字体非常xing3mu4.	The lettering on the poster is very eye-catching.
登山	deng1shan1队员在半山腰扎营.	The climbers made camp half-way up the peak.
滚动	保龄球一种较重的轻度削平的大木球，以使球斜进gun3dong4	A large wooden ball weighted or slightly flattened so as to roll with a bias.
明朗	近代研究已使这个问题大为ming2lang3化了。	Modern investigations have thrown great light on this question.
燃放	庆祝会的高潮是ran2fang4烟火。	The climax of the celebration was a firework display.
后边	他决心去看看办公室hou4bian5的那些房间。	He determined to view the rooms behind the office.
心不在焉	过分关注某事的；xin1 bu4 zai4 yan1的	Excessively concerned with something; distracted.
够呛	两口子争得gou4qiang4，弄得咱们一晚上没眨眼皮。	The couple had a heck of an argument and kept us awake all night.
吸尘器	他在起居室里用xi1chen2qi4打扫地毯。	He is vacuuming a rug in the sitting room.
口子	他的脚在一块碎玻璃上划了一个大kou3zi5。	He gashed his foot on a piece of broken glass.
举杯	让我们ju3bei1向新娘和新郎祝贺!	Let's drink (a toast) to the bride and bridegroom!
撞见	她zhuang4jian4他正在搜查她的房间.	She came upon him unawares as he was searching her room.
小路	我们前面的那辆汽车突然转入左边的xiao3lu4上去了.	The car in front of us suddenly branched off to the left.
擅	无通行证者不得shan4入军事基地.	You cannot enter a military base without a permit.
修车	xiu1 che1厂雇用琼斯做修理工，但发现他是冒牌货后，就把他解雇了。	The garage hired Jones as a mechanic, but fired him when they found he was sailing under false colours.
采摘	cai3zhai1物；采集量已采集或可被采集的物体或一群物体	Something or a group of things that are or may be picked.
卖掉	他决定将全部东西—房子、家具、汽车统统mai4diao4。	He decided to sell the whole shooting match—his house, furniture and car.
字条	便条简短的便条或备忘zi4tiao2	A brief note or memorandum.
失血	这名伤员由于shi1xue4过多而昏迷不醒。	This wounded soldier was unconscious from his loss of blood.
痉挛	肠绞痛肠内jing4luan2性剧痛	Sharp, spasmodic pains in the bowels.
杂货店	他决定开一间小规模za2huo4dian4。	He has decided to open a grocer store in a small way.
摆设	她爱好搜集小bai3she5.	She collects bric-a-brac.
民事	针对人或财产的min2shi4不规行为称之为“侵权”。	Civil wrong against persons or property is called""torts"".
宿醉	元旦那天他们都感到su4zui4头痛。	On New Year's Day they were all hung over.
长岛	欧申赛德美国纽约东南部一个还未合并的位于Chang2dao3南岸的社区。欧寻赛德是一个以住宅及休养为主的城镇。人口32，423	An unincorporated community of southeast New York on the southern shore of Long Island. Oceanside is a residential and resort town. Population, 32,423.
诸如此类	他说他没有时间, 或是zhu1ru2ci3lei4的藉口.	He said he hadn't got time or made some such excuse.
过早	鸡蛋还未孵，先别数鸡雏；莫guo4zao3乐观。	Do not count your chickens before they are hatched.
盾牌	以前用以保护上前去围攻的士兵的活动的屏面或dun4pai2	A mobile screen or shield formerly used to protect besieging soldiers.
细微	照片放大後xi4wei1之处都很清楚.	The enlargement brings out the details in the photograph.
前夕	目前的危机与大战qian2xi1的形势类似.	The present crisis is analogous with the situation immediately before the war.
挥舞	刀剑hui1wu3，旌旗飘扬。	Swords brandished and banners waved.
退化	有些品种的狗尾巴只有tui4hua4的部分.	Some breeds of dog have only rudimentary tails.
基层	主席没有ji1ceng2的支持。	The chairman has no grass-root support.
失灵	汽车刹车shi1ling2撞在墙上了.	The brakes failed to grip (ie engage with and stop the wheels) and the car ran into a wall.
花纹	菱形hua1wen2的织物一种图案为小菱形叠复花型装饰的白棉布或亚麻布	A white cotton or linen fabric patterned with small, duplicative diamond-shaped figures.
葡萄干	我请求他从新疆回来时给我带些pu2tao2gan1。	I asked him to bring me some raisins when he returns from Xinjiang.
武力	大国力图用wu3li4来解决问题。	Powers tried to throw the sword into the scale.
二级	焦炭，煤气和汽油是更加有效地利用煤和石油的第er4ji2燃料的范例。	The gas and petrol are examples of secondary fuels by which coal and oil may be more effectively used.
圆形	正方形有四条边，而yuan2xing2没有边。	A square has four sides but a circle has no sides.
连载	惊险故事lian2zai3每一集都在悬念中结束的情节剧lian2zai3	A melodramatic serial in which each episode ends in suspense.
小人	那个卑鄙xiao3ren2在玩扑克牌时作弊，因此引起一场打斗。	A fight break out because that scumbag cheat at poker.
无害	问题不一定会发生, 但有备无患并wu2hai4处.	The problem may not arise, but there's no harm in keeping our powder dry.
日光	ri4guang1的照射使颜色变淡了。	The sunlight has bleached the colour out.
专卖	采牡蛎者捉、养殖或zhuan1mai4牡蛎的人	One who gathers, cultivates, or sells oysters.
随风	船帆sui2feng1摆动.	The sails were flapping gently in the wind.
拷贝	旧稿要加上先前kao3bei4的原新闻的稿件	Previous journalistic copy to which succeeding copy is added.
丧生	他的妻子在车祸中sang4sheng1。	His wife was killed in a car accident.
巨头	报纸上满是关于世界政治三ju4tou2会晤的报道。	The newspaper was covered with reports of the meeting of the three political titans in the world.
芳心	他以勇敢赢得fang1xin1无数。	He won many hearts by his gallantry.
烛光	zhu2guang1在日光下显得很黯淡。	The light of a candle is dimmed by sunlight.
过道	大门一种构造，可被摇晃、牵引或降低，从而堵塞一出口或一guo4dao4	A structure that can be swung, drawn, or lowered to block an entrance or a passageway.
大屠杀	血洗野蛮的、不加区别的杀戳；da4tu2sha1	Savage, indiscriminate killing; a massacre.
每月	她mei3 yue4都存一点儿钱.	She sets aside a bit of money every month.
柱	拐棍已折zhu4不得。	Never lean on a break staff.
浓缩	水冶金术通过液体过程，象过滤，提炼，沉淀等方法处理金属，从矿石中或矿石nong2suo1物中分离出金属	The treatment of metal or the separation of metal from ores and ore concentrates by liquid processes, such as leaching, extraction, and precipitation.
经济学	从jing1ji4xue2的观点来说，国家处于很兴旺的状态之中。	Economically, the country is in a very healthy state.
过得	我们的假日guo4de2好无聊，每天都下雨。	We had a mouldy holiday - it rained every day.
好汉	许多伟人曾经是贫苦、不足轻重的小孩。hao3han4不怕出生贱。	Many great men were once poor, unimportant boys. Great oaks form little acorn grow.
运河	他们须疏浚yun4he2河道轮船方可通航.	They have to dredge the canal so that ships can use it.
慌乱	汽车喇叭的叫声使男孩感到huang1luan4。	The honking of horns flustered the boy.
代理人	你若不希望我们的dai4li3ren2去造访，请告之。	Should you not wish our agent to call, please let us know.
吊死	罪犯被推上绞架diao4si3。	The criminals were hanged on the gibbet.
散开	士兵们在山腰上成扇形san4kai1，搜索那个男人。	The soldiers fanned out across the hillside in their search for the man.
校友	我们每年举行一次大学xiao4you3联欢会。	We hold an annual reunion of former students of the college.
光亮	guang1liang4的灿烂地闪耀的；非常明亮的	Shining brilliantly; very bright.
头版	tou2ban3上有些有意思的消息.	There's something interesting on the front page.
会计师	承包合同批给了总kuai4ji4shi1的朋友, （可谓）各有好处、 串通一气.	The contract went to a friend of the chief accountant: it's (a case of) you scratch my back and I'll scratch yours.
死死	他只是带着那种奇特的神情si3si3地盯着她看。	He simply stared at her with that peculiar expression on his face.
试试看	你过来shi4shi5kan4。	Come on over to have a try.
行进	士兵在列队xing2jin4之後，很快便解散了。	The men fell out quickly after their march.
遗言	他囗头yi2yan2上遗留给我一点小小遗产作为他对我关爱的表徵。	He left me a small legacy in a nuncupative will, as a token of his kindness to me.
讲理	只要顺著她, 她是又和蔼又jiang3li3.	She's all sweetness and light provided you're doing what she wants.
痛哭	当她母亲回家来告诉她，她的狗已被车辗死时，这个可怜的小姑娘tong4ku1起来。	The poor little girl cried her heart out when her mother came home and told her that her dog had been run over.
香气	这房间里有一种xiang1qi4，使人想起春天的花朵。	There is an aroma suggestive of spring flowers in the room.
指手画脚	如果你朋友再来zhi3shou3-hua4jiao3，教育我们如何教育子女，那我就要叫他别多管闲事。	If your friend comes here with any more criticism about how we bring the children up, I'll tell him to go about his business.
半生	我们的前ban4sheng1为父母所糟蹋，而后ban4sheng1又复为儿女所糟蹋。	The first half of our lives is ruined by our parents and the second half by our children.
大名	好的。请您告诉我贵姓及da4ming2的头一个字母。	Ok may I have your last name and first initial, please?
插头	录音机的cha1tou2没插上.	The recorder wasn't plugged in.
讲解	请把这个问题给我jiang3jie3一下.	Please explain this problem to me.
房客	我把多余的房间出租（给fang2ke4）.	I let (out) my spare rooms (to lodgers).
时日	shi2ri4在无穷的展望中延展着。	The days stretch out in an endless vista.
群岛	日本在菲律宾qun2dao3的北面。	Japan lies to the north of Philippines.
有线	you3xian4圈的设备这样的螺旋线圈是主要部件的	Any of various devices of which such a spiral is the major component.
跨过	跨着以便kua4guo4或横过；横跨	So as to straddle or bridge; astride.
书桌	这种shu1zhuo1的高低可以按照你的需要调节。	This kind of desk can be adjusted to the height you need.
马来西亚	纳闽岛Ma3lai2xi1ya4婆罗洲东北海岸的一座岛屿。有一段时期曾为英国的直辖殖民地（1848年以后），1963年成为Ma3lai2xi1ya4的一部分	An island of Malaysia off the northeast coast of Borneo. At one time a British crown colony(after1848), it became part of Malaysia in1963.
不怎么	bu4 zen3me5想去，我并不大喜欢看电影。	Not really. I am not very fond of the cinema.
病痛	诊断通过评价病人的病史、体检情况和阅读试验数据的方式对人体机能进行检验或对人体引起bing4tong4的原因进行鉴别的行为或过程	The act or process of identifying or determining the nature and cause of a disease or injury through evaluation of patient history, examination, and review of laboratory data.
聚焦	我的目光没有ju4jiao1，以致我没有看到特别的目标，仅仅是那川流不息的彩色万花筒。	I throw my eyes out of focus, so that I see no particular object but only a seething kaleidoscope of colors.
圣灵	牟利罗，巴托洛米奥·埃斯特巴1617－1682西班牙风俗、肖像和宗教题材的画家，比如sheng4ling2怀胎1668	Spanish painter of genre scenes, portraits, and religious subjects, such as Immaculate Conception(1668).
穿透	水在chuan1tou4岩石的过程中获得了净化.	Water is purified by passing through rock.
毁坏	洪水hui3huai4了大量农作物。	The flood did a lot of damage to the crops.
垃圾箱	请你把废物扔到预备好的la1ji1xiang1里.	Please put your litter in the bin provided.
制品	硼砂常被用来做玻璃zhi4pin3。	Borax is always used in making glass.
霸占	他的财产被他叔叔ba4zhan4了。	His property was seized on by his uncle.
耐性	这项工作需要我拿出自己的全部精力和nai4xing4。	The job called for all my resources of energy and patience.
恶性	剧毒的，致命的极度传染性的、e4xing4的或剧毒的，用于疾病或毒素	Extremely infectious, malignant, or poisonous. Used of a disease or toxin.
肃静	他们都保持su4jing4。	They all maintained a reverent silence.
放任	经济自由主义一种经济理论，主张fang4ren4个人自由经营、建立自由市场体系和金本位制	An economic theory in favor of laissez-faire, the free market, and the gold standard.
棚	他给我们搭的花园peng2屋很没水平.	He made a very unprofessional job of putting up the garden shed for us.
荒废	这所房屋已处于huang1fei4的状态。	The house has fallen into a state of neglect.
水上	shui3shang4体育活动驾舟、游泳或其它与水有关的运动的技术	Skill in boating, swimming, or other water-related sports.
芽	大街两旁的梧桐树已冒ya2长叶。	The plane trees lining the main street are leafing out.
分居	赡养费按照法庭判决离婚后的原配偶－－通常为夫妻中收入较多的一方给另一方的供养补助。赡养费亦可付给并未离婚的双方中的一方，如在合法fen1ju1时	An allowance for support made under court order to a divorced person by the former spouse, usually the chief provider during the marriage. Alimony may also be granted without a divorce, as between legally separated persons.
哭声	这个政治家发现饥饿的孩子们可怜的ku1sheng1让人不忍心听下去。	The politician found the piteous cries of the starving children unbearable.
浇水	我们看见他在为屋子四周的草坪jiao1shui3。	We saw him watering the lawn around the house.
深感	我对盲人shen1gan3同情。	I felt much sympathy for the blind.
伟人	他喜欢读wei3ren2传记来提高自己。	He likes to read biographies of great men to promote himself.
壁画	西斯廷教堂的bi4hua4举世闻名.	The frescos in the Sistine Chapel are world-famous.
匈牙利	从群山之颠看到的Xiong1ya2li4景色非常壮丽。	The Hungarian view is magnificent from the summit of the mountains.
白银	黄金和bai2yin2的起伏不定的价格	The fluctuating value of gold and silver.
此后	ci3hou4不久，她便成为一名全国闻名的流行歌手。	Not long after that, she made a national name as a pop singer.
容许	事实不rong2xu3有其它的解释。	The facts permit no other explanation.
农家	把伤员安置在nong2jia1住宿.	The wounded were bedded in the farmhouse.
临死	灵魂出窍，亡魂显现活着的人在其lin2si3前出现的作为预兆的鬼魂	An apparition of a living person that appears as a portent just before that person's death.
发亮	猫的眼睛在黑暗中fa1liang4。	The cat's eyes glowed in the darkness.
乞讨	这个无家可归的男孩靠qi3tao3和偷窃为生。	The homeless boy begs and thieves for a living.
凉水	他用自来水龙头流出的liang2shui3把手洗干净。	He cleaned his hands in the cold water from the tap.
尚未	我们shang4wei4收到他的辞呈。	We haven't yet received his resignation.
名状	她感到一种难以ming2zhuang4的恐惧。	The apprehension she had felt had been shapeless.
柔弱	她装成rou2ruo4女性.	She affects the helpless female.
大风	da4feng1扫过平原。	The wind whipped across the plain.
折断	大厦上有个被风zhe2duan4的旗杆。	There is a flagpole broken by wind on the building.
垫子	他掀起dian4zi5把钥匙悄悄放在下面.	He lifted the mat and slid the key under (it).
关头	她在危急guan1tou2总是挺身而出.	She's always to the fore at moments of crisis.
碾	那只猫被卡车nian3死了。	The cat got run over by the lorry and squashed.
污点	他因卷入丑闻, 在名誉上留下wu1dian3.	His involvement in the scandal was a blot on his reputation.
严谨	天文学是一门yan2jin3的科学, 与占星术完全不同.	Astronomy, as distinct from astrology, is an exact science.
收取	他们对办理的每项业务shou1qu3一定的费用。	They charge a fixed rate for each transaction.
客车	ke4che1上坐满了老太太。	The coach is full of elderly ladies.
透彻	他举了具体的例子才把论点讲tou4che4。	He drove home his point by citing specific examples.
恩惠	我非常感激您的en1hui4。	I am greatly indebted to you for your kindness.
良药	目前仍没有治愈感冒的liang2yao4。	There is still no cure for the common cold.
饮水	农场有一个供牛yin3shui3的池塘。	The farm has a pond from which the cattle can drink.
军营	难民暂时安置在一座旧jun1ying2里.	The refugees are being lodged in an old army camp.
光明正大	他乘机利用她的无知和单纯，这种做法是不guang1ming2-zheng4da4的。	He takes advantage of her ignorance and simplicity; it isn't cricket.
饱受	他bao3shou4悔恨的煎熬.	He suffered agonies of remorse.
眉头	他心事重重，mei2tou2紧锁。	Care sat heavily on his brow.
急需	妹妹生病，ji2xu1用钱。	Sister ill money urgently needed
告密	gao4mi4者检举他人的人；gao4mi4的人	One who informs against others; an informer.
分公司	为发展业务, 我们决定开一家fen1gong1si1。	With a view to develop our business, we decided to establish a branch office.
方块	擦抹于球杆顶端的粉块用来擦弹子球棒梢或落袋台球棒梢以增加其与球的摩擦的一小fang1kuai4白垩	A small cube of chalk used in rubbing the tip of a billiard or pool cue to increase its friction with the cue ball.
加勒比	尽人皆知，苏联对古巴这时的发展感到不快，""这位［欧洲］外交官说。可是他又说，苏联允许国内及东欧有较多的自由，""若强行逼迫Jia1le4bi3海的盟邦，那可真是矛盾。""	It's no secret that the Soviets are not happy about the developments here in Cuba, "" the [European] diplomat said. But he added that with the Soviets permitting more freedom at home and within Eastern Europe, ""it would be a real contradiction to twist the arm of its Caribbean ally.""
遗漏	她抱怨名单上yi2lou4了她的名字。	She complained about the omission of her name from the list.
遮掩	他哈哈大笑以zhe1yan3紧张的心情.	He laughed to cover (ie hide) his nervousness.
佩戴	她pei4dai4了一把小梳子作为装饰品。	She wore a small comb as an ornament.
花都	桃hua1du1已经开过了。	The peach blossoms are over.
炮弹	夹叉射击按这种方式射出的pao4dan4	The shells fired in such a manner.
欢度	我们一起huan1du4的那个晚上是我最快乐的事情之一。	That evening together is one of my happiest recollections.
董事	他从初级职员做起，最终成了这家公司的dong3shi4。	He joined the firm as a junior clerk, and finished up a director.
活人	我宁愿照顾huo2ren2的肚子，也不愿以石碑的形式来照顾死者的荣耀。	I'd rather take care of the stomachs of the living than (take care of) the glory of the dead in the form of stone memorials.
舞者	空中交叉跳跃一种芭蕾舞动作，wu3zhe3在空中多次前后交叉双腿	A jump in ballet during which the dancer crosses the legs a number of times, alternately back and forth.
阵雨	整个下午断断续续地下着zhen4yu3。	It showered off and on all afternoon.
归属	两国之间存在着涉及那个岛屿gui1shu3的领土争端。	The two countries had a territorial dispute over which one owned the island.
初期	他新买的房子是美国chu1qi1的建筑。	The new house he bought was colonial architecture.
韦伯	wei2bo2磁通量的国际单位，等于当磁通量在一秒钟内被统一地减弱为零时在它联接的一圈电路内产生一伏特电动势时的磁通量	The SI unit of magnetic flux equal to the magnetic flux that in linking a circuit of one turn produces in it an electromotive force of one volt as it is uniformly reduced to zero within one second.
绊倒	他被一株树根ban4dao3了。	He tripped on a tree root.
伎俩	这种可耻的ji4liang3都是为了能让他当选.	These shameful manoeuvreswere aimed at securing his election.
拆除	警方封锁了这个区域直至chai1chu2炸弹的引信为止。	Police cordoned off the area until the bomb was defused.
星辰	倘若没有指南针, 可利用xing1chen2引路.	If you haven't a compass, use the stars to guide you.
奥地利	不要把Ao4di4li4跟澳大利亚弄混淆了.	Don't confuse Austria and/with Australia.
上层	乘客只可以在公共汽车的shang4ceng2吸烟。	Passengers may smoke only on the upper deck of the bus.
红火	格雷在一小块地下开始种花，如今他的生意确实十分hong2huo5，英格兰各地都有他的花店。	Gray started growing flowers on a small piece of land. Now he has really made it big and owns flower shops all over England.
满心	他man3xin1欢喜。	Joy filled his breast.
奏	风琴zou4出庄严的乐曲。	The organ rolled out a stately melody.
数百万	在很多地方，计算机能做shu4bai3wan4人的工作，因此它被广泛地应用在各个科技领域——核物理、电气工程、机械工程等等。	In many places a computer does the work of a million persons, and so it is widely used in any branch of science and technology- nuclear physics, electrical engineering, mechanical engineering, and the like.
内存	这台计算机的nei4cun2是256K。	This computer has a 256K memory.
引进	政府对yin3jin4科学设备非常感兴趣。	The government has an interest in importing scientific equipment.
从来不	他的军队cong2lai2 bu4向侵略者屈服。	His army never came under the yoke of invaders.
拴	那群牲畜被绳子shuan1着。	The animals were fastened by tether.
蒸汽	云是由水zheng1qi4凝缩而成的。	A cloud is a condensation of water vapour.
炸鸡	海伦在快餐店里点了zha2ji1和色拉。	Helen ordered both fried chicken and salad in the fast-food restaurant.
摆弄	他若继续bai3nong4那钟表，那非把它弄坏不可。	If he keeps fiddling with the clock, he is sure to put it out of order.
七十	他爷爷快qi1shi2岁了。	His grandfather is nearly seventy.
逐	我正在zhu2字的翻译。	I am making a verbal translation.
孩童	她在科学方面的倾向性在hai2tong2时代就已显现出来。	Her scientific bias showed itself in early childhood.
柬埔寨	印度支那半岛东南亚的一个半岛，包括越南、老挝、Jian3pu3zhai4、泰国、缅甸和马来西亚的大陆部分。历史上这一片地区曾受印度（尤其是印度教文化）和中国的影响	A peninsula of southeast Asia comprising Vietnam, Laos, Cambodia, Thailand, Burma, and the mainland territory of Malaysia. The area was influenced in early times by India(particularly the Hindu culture) and China.
审核	草案准备好了。请shen3he2一下细节内容，看看是否全部条款都合适好吗？	The draft is prepared. Will you please check the particulars and see if everything is all right?
意念	当时有关新市政大厅的计画还仅仅是那建筑师酝酿中的yi4nian4。	The plans for the new town hall were then still only a gleam in the architect's eye.
军用	新政府将他的地产徵作jun1yong4.	The new government expropriated his estate for military purposes.
厚重	犁一种农具，由在一根横梁端部的hou4zhong4的刃构成，通常系在一组牵引它的牲畜或机动车上，用来破碎土块并耕出槽沟从而为播种做好准备	A farm implement consisting of a heavy blade at the end of a beam, usually hitched to a draft team or motor vehicle and used for breaking up soil and cutting furrows in preparation for sowing.
供应商	设备必须从公司认可的gong1ying4shang1那里购买。	The equipment must be bought from a supplier approved by the company.
亲笔	签名册qin1bi3签名组成的册子	Autographs considered as a group.
毒性	耳du2xing4的对耳结构有毒害影响的，尤指对耳神经感觉	Having a toxic effect on the structures of the ear, especially on its nerve supply.
心肠	他老是把钱借给她，xin1chang2也太软了。	He's always lending her money; he's too soft-hearted.
水泡	他的鞋子太重，脚上磨出了shui3pao4。	His heavy shoes raised blisters on his feet.
养老	该yang3lao3基金在几家主要出售股份给公众的公司中均有股份.	The pension fund owns shares in several major public companies.
爱国者	ai4guo2zhe3热爱、支持和保卫自己国家的人	One who loves, supports, and defends one's country.
拉长	我插进了几则笑话，把我的讲话la1chang2了。	I made my speech longer by padding it with a few jokes.
截然不同	镇上有些所谓的娱乐, 但与城里的jie2ran2 bu4 tong2.	The town offers entertainments of a kind, but nothing like what you'll find in the city.
黄蜂	大多数蜜蜂和huang2feng1都是群居昆虫。	Most bees and wasps are social insects.
装饰品	墙上有一个贝壳做成的zhuang1shi4pin3。	There is an ornament made of shells on the wall.
篝火	那gou1huo3只有余烬尚存。	Only the embers of the bonfire remained.
加仑	这是jia1lun2与升的换算公式。	It's the formula for converting gallons into liters.
